journal_name	category	citations	if_2022	jci	percentageOAGold
RELIEVE-Revista Electronica de Investigacion y Evaluacion Educativa	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	266	N/A	0.80	90.91
Religion and Theology-A Journal of Contemporary Religious Discourse	RELIGION - ESCI(N/A)	56	N/A	0.55	0.00
Revista Electronica Interuniversitaria de Formacion del Profesorado	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	479	N/A	0.71	83.82
Revista Investigaciones Altoandinas-Journal of High Andean Research	MULTIDISCIPLINARY SCIENCES - ESCI(N/A)	86	N/A	0.08	100.00
Science Activities-Projects and Curriculum Ideas in STEM Classrooms	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	62	N/A	0.21	0.00
Transformation-An International Journal of Holistic Mission Studies	RELIGION - ESCI(N/A)	73	N/A	0.66	5.56
ZEITSCHRIFT FUR ANTIKES CHRISTENTUM-JOURNAL OF ANCIENT CHRISTIANITY	RELIGION - AHCI(N/A)	117	N/A	0.64	1.96
Zbornik Veleucilista u Rijeci-Journal of the Polytechnics of Rijeka	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	32	N/A	0.12	100.00
ASIANetwork Exchange-A Journal for Asian Studies in the Liberal Arts	ASIAN STUDIES - ESCI(N/A)	27	N/A	0.29	100.00
Anthropologie-International Journal of Human Diversity and Evolution	ANTHROPOLOGY - ESCI(N/A)	185	N/A	0.17	0.00
Araucaria-Revista Iberoamericana de Filosofia Politica y Humanidades	PHILOSOPHY - ESCI(N/A)	96	N/A	0.17	99.00
ESP Today-Journal of English for Specific Purposes at Tertiary Level	LINGUISTICS - ESCI(N/A)	66	N/A	0.34	100.00
Ekonomika i Matematiceskie Metody-Economics and Mathematical Methods	ECONOMICS - ESCI(N/A)	78	N/A	0.10	0.00
Electronic Journal of the Faculty of Civil Engineering Osijek-e-GFOS	ENGINEERING, CIVIL - ESCI(N/A)	43	N/A	0.08	97.30
Energy Systems-Optimization Modeling Simulation and Economic Aspects	ENERGY & FUELS - ESCI(N/A)	898	N/A	0.35	9.81
European Journal of Investigation in Health Psychology and Education	PSYCHOLOGY, CLINICAL - ESCI(N/A)	378	N/A	0.55	87.32
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)	274	N/A	0.27	0.00
International Journal of Computational Intelligence and Applications	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(N/A)	551	N/A	0.25	1.20
International Journal of Electrical and Computer Engineering Systems	ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A)	56	N/A	0.12	3.77
International Journal of Energetic Materials and Chemical Propulsion	"ENGINEERING, AEROSPACE - ESCI(N/A); MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A)"	249	N/A	0.19	0.00
International Journal of Intelligent Transportation Systems Research	TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A)	301	N/A	0.36	12.40
International Journal of Pharmaceutical Research and Allied Sciences	PHARMACOLOGY & PHARMACY - ESCI(N/A)	461	N/A	0.36	15.50
International Journal of Self-Propagating High-Temperature Synthesis	MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A)	397	N/A	0.12	0.00
International Journal of System Assurance Engineering and Management	ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)	1523	N/A	0.52	2.23
International Review of Sociology-Revue Internationale de Sociologie	SOCIOLOGY - ESCI(N/A)	531	N/A	0.47	6.33
International journal of Health Medicine and Current Research-IJHMCR	HEALTH CARE SCIENCES & SERVICES - ESCI(N/A)	36	N/A	0.05	0.00
Journal of Agriculture and Environment for International Development	AGRONOMY - ESCI(N/A)	131	N/A	0.16	9.38
Journal of Indian Association for Child and Adolescent Mental Health	PEDIATRICS - ESCI(N/A)	99	N/A	0.11	0.00
Journal of the International Network for Korean Language and Culture	LANGUAGE & LINGUISTICS - ESCI(N/A)	18	N/A	0.08	0.00
Journal of the Korean Association of Oral and Maxillofacial Surgeons	DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(N/A)	762	N/A	0.56	98.84
Journal of the Korean Society for Industrial and Applied Mathematics	MATHEMATICS, APPLIED - ESCI(N/A)	72	N/A	0.23	0.00
Meta-Research in Hermeneutics Phenomenology and Practical Philosophy	PHILOSOPHY - ESCI(N/A)	37	N/A	0.26	0.00
Nazariyat-Journal for the History of Islamic Philosophy and Sciences	RELIGION - ESCI(N/A)	16	N/A	0.58	60.71
Proceedings of the Institution of Civil Engineers-Bridge Engineering	ENGINEERING, CIVIL - ESCI(N/A)	246	N/A	0.31	4.29
Proceedings of the Institution of Civil Engineers-Ground Improvement	ENGINEERING, GEOLOGICAL - ESCI(N/A)	719	N/A	0.56	4.17
Rabels Zeitschrift fur Auslandisches und Internationales Privatrecht	LAW - ESCI(N/A)	52	N/A	0.34	0.00
Reading & Writing-Journal of the Reading Association of South Africa	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	59	N/A	0.26	85.19
Research and Practice in Intellectual and Developmental Disabilities	REHABILITATION - ESCI(N/A)	161	N/A	0.70	13.89
Revista de Etnografie si Folclor-Journal of Ethnography and Folklore	FOLKLORE - AHCI(N/A)	15	N/A	0.14	0.00
Electronic Journal of Information Systems in Developing Countries	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	870	N/A	1.03	8.06
Francofonia-Studi e Ricerche sulle Letterature di Lingua Francese	LITERATURE, ROMANCE - ESCI(N/A)	18	N/A	0.00	0.00
International Journal of Comparative and Applied Criminal Justice	CRIMINOLOGY & PENOLOGY - ESCI(N/A)	376	N/A	0.75	8.91
International Journal of Computational Economics and Econometrics	ECONOMICS - ESCI(N/A)	76	N/A	0.19	0.00
International Journal of Culture Tourism and Hospitality Research	HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)	1187	N/A	0.69	2.14
International Journal of Gaming and Computer-Mediated Simulations	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)	267	N/A	0.17	8.33
International Journal of Medical Toxicology and Forensic Medicine	"TOXICOLOGY - ESCI(N/A); MEDICINE, LEGAL - ESCI(N/A)"	51	N/A	0.07	67.39
International Journal of Multimedia Data Engineering & Management	COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI(N/A)	45	N/A	0.19	0.00
International Journal of Nonprofit and Voluntary Sector Marketing	BUSINESS - ESCI(N/A)	957	N/A	0.21	7.06
International Journal of Public Administration in the Digital Age	INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A)	77	N/A	0.22	24.39
International Review of Retail Distribution and Consumer Research	BUSINESS - ESCI(N/A)	1235	N/A	0.43	20.22
Izvestiya of Saratov University Mathematics Mechanics Informatics	MATHEMATICS - ESCI(N/A)	1	N/A	N/A	100.00
Jebat-Malaysian Journal of History Politics and Strategic Studies	HISTORY - ESCI(N/A)	52	N/A	0.60	0.00
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases	"INFECTIOUS DISEASES - ESCI(N/A); MICROBIOLOGY - ESCI(N/A); RESPIRATORY SYSTEM - ESCI(N/A)"	287	N/A	0.38	100.00
Journal of Eastern Mediterranean Archaeology and Heritage Studies	ARCHAEOLOGY - ESCI(N/A)	110	N/A	0.54	1.69
Journal of Traffic and Transportation Engineering-English Edition	"ENGINEERING, CIVIL - ESCI(N/A); TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A)"	1493	N/A	0.78	95.06
Journal of the Korean Society for Aeronautical and Space Sciences	ENGINEERING, AEROSPACE - ESCI(N/A)	153	N/A	0.09	0.00
Journal on Efficiency and Responsibility in Education and Science	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	103	N/A	0.65	94.23
LIAS-Journal of Early Modern Intellectual Culture and its Sources	HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)	9	N/A	0.38	0.00
Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud	SPORT SCIENCES - ESCI(N/A)	21	N/A	0.02	91.80
Preternature-Critical and Historical Studies on the Preternatural	HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)	23	N/A	0.31	0.00
Psychological Perspectives-A Quarterly Journal of Jungian Thought	PSYCHOLOGY, PSYCHOANALYSIS - ESCI(N/A)	86	N/A	0.11	0.00
REICE-Revista Electronica de Investigacion en Ciencias Economicas	ECONOMICS - ESCI(N/A)	18	N/A	0.05	51.58
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti	MATHEMATICS - ESCI(N/A)	27	N/A	0.33	0.00
Razon Historica-Revista Hispanoamericana de Historia de las Ideas	HISTORY - ESCI(N/A)	15	N/A	0.25	0.00
ReiDoCrea-Revista Eectronica de Investigacion y Docencia Creativa	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	92	N/A	0.07	33.33
Revista Icono 14-Revista Cientifica de Comunicacion y Tecnologias	COMMUNICATION - ESCI(N/A)	141	N/A	0.35	91.55
Revista Latinoamericana de Metodologia de la Investigacion Social	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	32	N/A	0.06	0.00
Rivista di Psicologia dell Emergenza e dell Assistenza Umanitaria	PSYCHOLOGY, CLINICAL - ESCI(N/A)	4	N/A	0.02	0.00
STAPS-Sciences et Techniques des Activites Physiques et Sportives	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	55	N/A	0.10	0.00
Special Topics & Reviews in Porous Media-An International Journal	ENGINEERING, MECHANICAL - ESCI(N/A)	316	N/A	0.41	0.00
Uchenye Zapiski Kazanskogo Universiteta-Seriya Estestvennye Nauki	MULTIDISCIPLINARY SCIENCES - ESCI(N/A)	84	N/A	0.05	100.00
Almatourism-Journal of Tourism Culture and Territorial Development	HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)	109	N/A	0.06	0.00
Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring	"CLINICAL NEUROLOGY - ESCI(N/A); NEUROSCIENCES - ESCI(N/A)"	1216	N/A	1.20	98.43
Anatolia-International Journal of Tourism and Hospitality Research	HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)	1554	N/A	0.65	1.29
Annales Universitatis Paedagogicae Cracoviensis-Studia Mathematica	MATHEMATICS - ESCI(N/A)	37	N/A	0.69	97.22
Archai-Revista de Estudos Sobre as Origens do Pensamento Ocidental	HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)	13	N/A	0.22	98.99
BULLETIN OF THE INSTITUTE OF HISTORY AND PHILOLOGY ACADEMIA SINICA	"ASIAN STUDIES - AHCI(N/A); LANGUAGE & LINGUISTICS - AHCI(N/A); HISTORY - AHCI(N/A)"	52	N/A	0.10	0.00
CLIO-A JOURNAL OF LITERATURE HISTORY AND THE PHILOSOPHY OF HISTORY	"LITERATURE - AHCI(N/A); LITERARY THEORY & CRITICISM - AHCI(N/A); PHILOSOPHY - AHCI(N/A); HISTORY - AHCI(N/A)"	94	N/A	0.84	0.00
Clinical Medicine Insights-Arthritis and Musculoskeletal Disorders	ORTHOPEDICS - ESCI(N/A)	415	N/A	0.66	100.00
Comparative and International Law Journal of Southern Africa-CILSA	LAW - ESCI(N/A)	54	N/A	0.10	0.00
English Academy Review-Southern African Journal of English Studies	LANGUAGE & LINGUISTICS - ESCI(N/A)	49	N/A	0.32	0.00
Focus on Health Professional Education-A Multidisciplinary Journal	EDUCATION, SCIENTIFIC DISCIPLINES - ESCI(N/A)	88	N/A	0.25	0.00
Homo Oeconomicus-Journal of Behavioral and Institutional Economics	ECONOMICS - ESCI(N/A)	74	N/A	0.10	20.59
IJERI-International Journal of Educational Research and Innovation	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	212	N/A	0.33	60.53
International Journal Of Recycling of Organic Waste in Agriculture	ENVIRONMENTAL SCIENCES - ESCI(N/A)	690	N/A	0.44	57.32
International Journal of Adult Vocational Education and Technology	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	69	N/A	0.33	0.00
International Journal of Asian Business and Information Management	BUSINESS - ESCI(N/A)	116	N/A	0.22	44.55
International Journal of Electronic Security and Digital Forensics	COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)	174	N/A	0.21	0.00
International Journal of Information Systems in the Service Sector	COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)	152	N/A	0.27	1.56
International Journal of Information Technology Project Management	MANAGEMENT - ESCI(N/A)	110	N/A	0.22	0.00
International Journal of Parallel Emergent and Distributed Systems	COMPUTER SCIENCE, THEORY & METHODS - ESCI(N/A)	323	N/A	0.40	3.73
International Journal of RF Technologies-Research and Applications	COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)	73	N/A	0.11	0.00
International Research in Geographical and Environmental Education	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	643	N/A	0.96	10.26
Journal of the Canadian Academy of Child and Adolescent Psychiatry	PSYCHIATRY - ESCI(N/A)	1079	N/A	0.27	0.00
Journal of the International Clinical Dental Research Organization	DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(N/A)	62	N/A	0.04	64.00
Libres-Library and Information Science Research Electronic Journal	INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A)	44	N/A	0.07	33.33
Multiple Sclerosis Journal-Experimental Translational and Clinical	CLINICAL NEUROLOGY - ESCI(N/A)	585	N/A	0.49	96.47
Postepy w Chirurgii Glowy i Szyi-Advances in Head and Neck Surgery	SURGERY - ESCI(N/A)	0	N/A	0.00	0.00
Siberian Historical Research-Sibirskie Istoricheskie Issledovaniya	HISTORY - ESCI(N/A)	74	N/A	0.72	99.24
Sibirskiy Psikhologicheskiy Zhurnal-Siberian Journal of Psychology	PSYCHOLOGY, MULTIDISCIPLINARY - ESCI(N/A)	90	N/A	0.11	0.00
Victorian Review-An Interdisciplinary Journal of Victorian Studies	HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)	22	N/A	0.21	0.00
Victoriographies-A Journal of Nineteenth-Century Writing 1790-1914	HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)	13	N/A	0.28	0.00
Zagadnienia Filozoficzne w Nauce-Philosophical Problems in Science	HISTORY & PHILOSOPHY OF SCIENCE - ESCI(N/A)	37	N/A	0.31	0.00
Panta Rei-Revista Digital de Ciencia y Didactica de la Historia	HISTORY - ESCI(N/A)	22	N/A	0.91	75.76
Pastoral Liturgy-Formation and Resources for Lectionary Worship	RELIGION - ESCI(N/A)	0	N/A	0.00	0.00
Revista Digital de Investigacion en Docencia Universitaria-RIDU	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	72	N/A	0.30	65.31
Revista Estudos Institucionais-Journal of Institutional Studies	LAW - ESCI(N/A)	79	N/A	0.59	89.81
Revista Iberoamericana de Psicologia del Ejercicio y el Deporte	PSYCHOLOGY, APPLIED - ESCI(N/A)	254	N/A	0.19	0.00
Revista Latinoamericana de Metodologia de las Ciencias Sociales	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	21	N/A	0.07	96.00
SAE International Journal of Vehicle Dynamics Stability and NVH	TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A)	125	N/A	0.24	0.00
STUDIES IN CANADIAN LITERATURE-ETUDES EN LITTERATURE CANADIENNE	LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN - AHCI(N/A)	70	N/A	0.48	0.00
Sociologia Nauki i Tehnologij-Sociology of Science & Technology	"SOCIOLOGY - ESCI(N/A); HISTORY & PHILOSOPHY OF SCIENCE - ESCI(N/A)"	34	N/A	0.14	0.00
Structural Monitoring and Maintenance, An International Journal	ENGINEERING, CIVIL - ESCI(N/A)	315	N/A	0.49	0.00
Studia Universitatis Vasile Goldis Arad Seria Stiinte Economice	ECONOMICS - ESCI(N/A)	60	N/A	0.24	100.00
Studijne Zvesti Archeologickeho Ustavu Slovenskej Akademie Vied	ARCHAEOLOGY - ESCI(N/A)	49	N/A	0.14	89.36
Teknokultura: Revista de Cultura Digital y Movimientos Sociales	HISTORY & PHILOSOPHY OF SCIENCE - ESCI(N/A)	96	N/A	0.36	91.38
Tilburg Law Review-Journal of International and Comparative Law	LAW - ESCI(N/A)	39	N/A	0.38	95.00
World Journal of Science Technology and Sustainable Development	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - ESCI(N/A)	339	N/A	0.25	1.43
ATHENAEUM-STUDI PERIODICI DI LETTERATURA E STORIA DELL ANTICHITA	CLASSICS - AHCI(N/A)	318	N/A	1.21	0.00
Acta Crystallographica Section E-Crystallographic Communications	CRYSTALLOGRAPHY - ESCI(N/A)	5592	N/A	0.42	97.74
Aloma-Revista de Psicologia Ciencies de l Educacio i de l Esport	PSYCHOLOGY, MULTIDISCIPLINARY - ESCI(N/A)	135	N/A	0.30	31.25
BRAIN-Broad Research in Artificial Intelligence and Neuroscience	NEUROSCIENCES - ESCI(N/A)	291	N/A	0.16	75.49
Biblos-Revista da Faculdade de Letras da Universidade de Coimbra	HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)	9	N/A	0.11	96.43
Bogoslovni Vestnik-Theological Quarterly-Ephemerides Theologicae	RELIGION - ESCI(N/A)	229	N/A	2.24	0.00
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE	LANGUAGE & LINGUISTICS - AHCI(N/A)	249	N/A	0.42	6.15
Canadian Journal of Respiratory Critical Care and Sleep Medicine	RESPIRATORY SYSTEM - ESCI(N/A)	184	N/A	0.18	3.92
Canadian Journal of Science Mathematics and Technology Education	EDUCATION, SCIENTIFIC DISCIPLINES - ESCI(N/A)	598	N/A	0.78	8.26
Connectist-Istanbul University Journal of Communication Sciences	COMMUNICATION - ESCI(N/A)	10	N/A	0.08	89.47
Critical Review of International Social and Political Philosophy	POLITICAL SCIENCE - ESCI(N/A)	719	N/A	0.34	13.23
European Journal of Economics and Economic Policies-Intervention	ECONOMICS - ESCI(N/A)	197	N/A	0.29	4.41
Fachsprache-Journal of Professional and Scientific Communication	LANGUAGE & LINGUISTICS - ESCI(N/A)	37	N/A	0.45	0.00
Imagologiya i Komparativistika-Imagology and Comparative Studies	HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)	14	N/A	0.51	0.00
International Journal of Environment and Sustainable Development	ENVIRONMENTAL STUDIES - ESCI(N/A)	349	N/A	0.14	0.00
International Journal of Environmental Technology and Management	ENGINEERING, ENVIRONMENTAL - ESCI(N/A)	292	N/A	0.07	0.00
International Journal of Human Rights and Constitutional Studies	LAW - ESCI(N/A)	14	N/A	0.08	0.00
International Journal of Occupational and Environmental Medicine	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)	693	N/A	1.08	64.10
International Journal of Pharmaceutical and Healthcare Marketing	HEALTH POLICY & SERVICES - ESCI(N/A)	443	N/A	0.46	0.96
International Journal of Productivity and Performance Management	MANAGEMENT - ESCI(N/A)	3447	N/A	0.70	2.28
International Journal of Womens Health and Reproduction Sciences	REPRODUCTIVE BIOLOGY - ESCI(N/A)	325	N/A	0.23	97.03
Journal of Endocrinology Metabolism and Diabetes of South Africa	ENDOCRINOLOGY & METABOLISM - ESCI(N/A)	180	N/A	0.13	100.00
Journal of Management and Business Administration-Central Europe	MANAGEMENT - ESCI(N/A)	77	N/A	0.21	100.00
Journal of Oral and Maxillofacial Surgery Medicine and Pathology	DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(N/A)	359	N/A	0.14	4.89
Journal of Rehabilitation and Assistive Technologies Engineering	ENGINEERING, BIOMEDICAL - ESCI(N/A)	259	N/A	0.30	100.00
Journal of the Korean Academy of Child and Adolescent Psychiatry	PSYCHIATRY - ESCI(N/A)	136	N/A	0.28	98.48
Journal of the Liaquat University of Medical and Health Sciences	HEALTH CARE SCIENCES & SERVICES - ESCI(N/A)	196	N/A	0.07	38.20
Journal of the Statistical and Social Inquiry Society of Ireland	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	36	N/A	0.11	0.00
Klinik Psikiyatri Dergisi-Turkish Journal of Clinical Psychiatry	PSYCHIATRY - ESCI(N/A)	147	N/A	0.12	93.10
Mehran University Research Journal of Engineering and Technology	ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)	351	N/A	0.21	96.81
Multiscale and Multidisciplinary Modeling Experiments and Design	"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A); MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A); ENGINEERING, MECHANICAL - ESCI(N/A)"	128	N/A	0.34	2.53
Palimpsest-A Journal on Women Gender and the Black International	WOMENS STUDIES - ESCI(N/A)	25	N/A	0.04	0.00
Portes-Revista Mexicana de Estudios sobre la Cuenca del Pacifico	ECONOMICS - ESCI(N/A)	13	N/A	0.04	0.00
REDIMAT-Revista de Investigacion en Didactica de las Matematicas	EDUCATION, SCIENTIFIC DISCIPLINES - ESCI(N/A)	53	N/A	0.24	51.35
REUNIR-Revista de Administracao Contabilidade e Sustentabilidade	BUSINESS - ESCI(N/A)	26	N/A	0.02	15.71
Retos-Nuevas Tendencias en Educacion Fisica Deporte y Recreacion	HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)	1039	N/A	0.21	15.91
Revista General del Derecho del Trabajo y de la Seguridad Social	LAW - ESCI(N/A)	80	N/A	0.05	0.00
Revista Gestao & Tecnologia-Journal of Management and Technology	MANAGEMENT - ESCI(N/A)	79	N/A	0.07	75.56
Russian Journal of Vietnamese Studies-Vyetnamskiye issledovaniya	AREA STUDIES - ESCI(N/A)	6	N/A	0.11	8.25
Shima-The International Journal of Research into Island Cultures	GEOGRAPHY - ESCI(N/A)	256	N/A	0.23	89.74
TD-The Journal for Transdisciplinary Research in Southern Africa	SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)	142	N/A	0.23	91.11
Time & Mind-The Journal of Archaeology Consciousness and Culture	ARCHAEOLOGY - AHCI(N/A)	157	N/A	0.50	20.41
Translational Journal of the American College of Sports Medicine	SPORT SCIENCES - ESCI(N/A)	188	N/A	0.28	0.00
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY	HISTORY - AHCI(N/A)	77	N/A	0.35	0.00
Annals Abbasi Shaheed Hospital & Karachi Medical & Dental College	MEDICINE, GENERAL & INTERNAL - ESCI(N/A)	38	N/A	0.03	0.00
Biochemistry Moscow Supplement Series A-Membrane and Cell Biology	CELL BIOLOGY - ESCI(N/A)	279	N/A	0.09	4.27
Coaching-An International Journal of Theory Research and Practice	PSYCHOLOGY, APPLIED - ESCI(N/A)	165	N/A	0.53	12.73
Communicare-Journal for Communication Sciences in Southern Africa	COMMUNICATION - ESCI(N/A)	68	N/A	0.15	0.00
Discours-Revue de Linguistique Psycholinguistique et Informatique	LINGUISTICS - ESCI(N/A)	61	N/A	0.28	84.00
INTERNATIONAL JOURNAL OF MATHEMATICS AND MATHEMATICAL SCIENCES	"MATHEMATICS, APPLIED - ESCI(N/A); MATHEMATICS - ESCI(N/A)"	1456	N/A	0.33	98.37
Indonesian Journal of Sustainability Accounting and Management	"MANAGEMENT - ESCI(N/A); BUSINESS, FINANCE - ESCI(N/A)"	66	N/A	0.40	100.00
International Journal of Accounting and Information Management	MANAGEMENT - ESCI(N/A)	819	N/A	1.41	1.82
International Journal of Agricultural and Statistical Sciences	AGRICULTURE, MULTIDISCIPLINARY - ESCI(N/A)	464	N/A	0.18	0.00
International Journal of Automotive And Mechanical Engineering	ENGINEERING, MECHANICAL - ESCI(N/A)	712	N/A	0.31	17.60
International Journal of Biomedical Engineering and Technology	ENGINEERING, BIOMEDICAL - ESCI(N/A)	561	N/A	0.17	0.00
International Journal of Comparative Education and Development	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	96	N/A	0.48	1.59
International Journal of Computational Science and Engineering	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)	1302	N/A	0.26	0.00
International Journal of Computer Science and Network Security	COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)	1401	N/A	0.09	0.00
International Journal of Educational Leadership and Management	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	47	N/A	0.27	79.17
International Journal of Engineering and Technology Innovation	ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)	151	N/A	0.36	51.25
International Journal of Hepatobiliary and Pancreatic Diseases	GASTROENTEROLOGY & HEPATOLOGY - ESCI(N/A)	16	N/A	0.04	78.57
International Journal of Intelligent Computing and Cybernetics	COMPUTER SCIENCE, CYBERNETICS - ESCI(N/A)	497	N/A	0.31	0.00
International Journal of Intelligent Robotics and Applications	ROBOTICS - ESCI(N/A)	308	N/A	0.40	12.31
International Journal of Marketing Communication and New Media	COMMUNICATION - ESCI(N/A)	41	N/A	0.16	0.00
International Journal of Production Management and Engineering	ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)	84	N/A	0.25	93.75
International Journal of Spatial Data Infrastructures Research	GEOGRAPHY - ESCI(N/A)	142	N/A	0.39	0.00
International Journal on Information Technologies and Security	COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)	63	N/A	0.14	0.00
International Journal on Smart Sensing and Intelligent Systems	ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A)	463	N/A	0.25	100.00
Journal of Biomimetics Biomaterials and Biomedical Engineering	ENGINEERING, BIOMEDICAL - ESCI(N/A)	186	N/A	0.15	1.30
Journal of Occupational Therapy Schools and Early Intervention	PSYCHOLOGY, EDUCATIONAL - ESCI(N/A)	306	N/A	0.28	0.92
Journal of Organizational Effectiveness-People and Performance	MANAGEMENT - ESCI(N/A)	525	N/A	0.71	7.46
Journal of Teaching English for Specific and Academic Purposes	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	79	N/A	0.17	99.28
Kemija u Industriji-Journal of Chemists and Chemical Engineers	CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)	199	N/A	0.07	87.10
Latin American Journal of Content & Language Integrated-LACLIL	EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A)	96	N/A	0.50	90.00
Mediterranean Journal of Infection Microbes and Antimicrobials	INFECTIOUS DISEASES - ESCI(N/A)	29	N/A	0.04	97.25
Nanotechnologies in Construction-A Scientific Internet-Journal	NANOSCIENCE & NANOTECHNOLOGY - ESCI(N/A)	181	N/A	0.14	97.96
New Horizons in Adult Education and Human Resource Development	INDUSTRIAL RELATIONS & LABOR - ESCI(N/A)	140	N/A	0.25	0.00
New Proposals-Journal of Marxism and Interdisciplinary Inquiry	POLITICAL SCIENCE - ESCI(N/A)	54	N/A	0.27	0.00
New Space-The Journal of Space Entrepreneurship and Innovation	ENGINEERING, AEROSPACE - ESCI(N/A)	160	N/A	0.30	9.30
OASIS-Observatorio de Analisis de los Sistemas Internacionales	INTERNATIONAL RELATIONS - ESCI(N/A)	13	N/A	0.04	98.21
Partial Answers-Journal of Literature and the History of Ideas	LITERARY THEORY & CRITICISM - AHCI(N/A)	78	N/A	1.64	0.00
RBONE-Revista Brasileira de Obesidade Nutricao e Emagrecimento	NUTRITION & DIETETICS - ESCI(N/A)	35	N/A	0.02	0.00
Religioni e Societa-Rivista di Scienze Sociali della Religione	RELIGION - ESCI(N/A)	10	N/A	0.18	0.00
Revista Mexicana de Analisis Politico y Administracion Publica	POLITICAL SCIENCE - ESCI(N/A)	27	N/A	0.01	0.00
SAE International Journal of Passenger Cars-Mechanical Systems	TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A)	720	N/A	0.12	0.00
